timestamp,sensor_id,event,details,reasons,dilution_cycle
2025-08-18T16:13:00.000000,042,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:13:00.000000,042,Branch C Skipped,No VAV mapping found,['temp'],1
2025-08-18T16:13:00.000000,043,Branch Routing,Pollutant alert. Routing to Branch A.,"['tvoc', 'temp']",0
2025-08-18T16:13:00.000000,043,Branch A Skipped,No VAV mapping found,"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,044,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:13:00.000000,044,Warming Cycle Started,Cycle #1 for VAV '12',['temp'],1
2025-08-18T16:13:00.000000,044,CHW Valve Action (Warming),VAV at min. Decreasing Chilled Water Valve position by 5%,['temp'],1
2025-08-18T16:13:00.000000,045,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:13:00.000000,045,Warming Cycle Started,Cycle #1 for VAV '13',['temp'],1
2025-08-18T16:13:00.000000,045,CHW Valve Action (Warming),VAV at min. Decreasing Chilled Water Valve position by 5%,['temp'],1
2025-08-18T16:13:00.000000,047,Branch Routing,Pollutant alert. Routing to Branch A.,['tvoc'],0
2025-08-18T16:13:00.000000,047,Dilution Cycle Started,Cycle #1 for VAV '19',['tvoc'],1
2025-08-18T16:13:00.000000,047,VAV Action,VAV '19' airflow not at max. Setting to maximum,['tvoc'],1
2025-08-18T16:13:00.000000,048,Branch Routing,Pollutant alert. Routing to Branch A.,['tvoc'],0
2025-08-18T16:13:00.000000,048,Dilution Cycle Started,Cycle #1 for VAV '20',['tvoc'],1
2025-08-18T16:13:00.000000,048,VAV Action,VAV '20' airflow not at max. Setting to maximum,['tvoc'],1
2025-08-18T16:13:00.000000,049,Branch Routing,Pollutant alert. Routing to Branch A.,"['tvoc', 'temp']",0
2025-08-18T16:13:00.000000,049,Dilution Cycle Started,Cycle #1 for VAV '21',"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,049,VAV Action,VAV '21' airflow not at max. Setting to maximum,"['tvoc', 'temp']",1
2025-08-18T16:13:00.000000,050,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:13:00.000000,050,Warming Cycle Started,Cycle #1 for VAV '17',['temp'],1
2025-08-18T16:13:00.000000,050,VAV Action (Warming),VAV '17' not at min. Decreasing flow setpoint by 10%,['temp'],1
2025-08-18T16:13:00.000000,052,Branch Routing,Comfort alert (Too Cold). Routing to Branch C.,['temp'],0
2025-08-18T16:13:00.000000,052,Warming Cycle Started,Cycle #1 for VAV '15',['temp'],1
